organizacion,codigo,codigo_corto,total_electores_habiles,TIPO_ELECCION,ELECTORES_HABILES,ELECTORES_VOTARON,VOTOS_POR_PROCESAR,MODALIDAD,LISTAS
ACCION POPULAR,00000002,02,221946,presidenciales,221946,30413,0,universal,4
ACCION POPULAR,00000002,02,221946,parlamento_andino,221946,30814,0,universal,-
ACCION POPULAR,00000002,02,221946,congresales,284830,40813,0,universal,-
ALIANZA PARA EL PROGRESO,00000012,12,224604,delegados_regional,224604,4807,0,delegados,-
ALIANZA PARA EL PROGRESO,00000012,12,224604,parlamento_andino,26,26,0,delegados,-
ALIANZA PARA EL PROGRESO,00000012,12,224604,congresales,702,702,0,delegados,-
ALIANZA PARA EL PROGRESO,00000012,12,224604,presidenciales,26,26,0,delegados,1
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,00000016,16,7881,delegados_regional,7881,362,0,delegados,-
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,00000016,16,7881,parlamento_andino,50,39,0,delegados,-
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,00000016,16,7881,congresales,50,39,0,delegados,-
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,00000016,16,7881,presidenciales,50,39,0,delegados,1
DEMOCRACIA DIRECTA,00000018,18,15736,delegados_regional,1531,59,0,delegados,-
DEMOCRACIA DIRECTA,00000018,18,15736,delegados_provincial,8456,400,0,delegados,-
DEMOCRACIA DIRECTA,00000018,18,15736,parlamento_andino,25,12,0,delegados,-
DEMOCRACIA DIRECTA,00000018,18,15736,presidenciales,25,12,0,delegados,1
DEMOCRACIA DIRECTA,00000018,18,15736,congresales,17267,613,0,universal,-
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",00000015,15,10144,presidenciales,10144,532,0,universal,1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",00000015,15,10144,parlamento_andino,10144,532,0,universal,-
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",00000015,15,10144,congresales,10144,915,0,universal,-
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,00000021,21,42904,delegados_regional,42904,9069,0,delegados,-
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,00000021,21,42904,delegados_provincial,41787,8974,0,delegados,-
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,00000021,21,42904,parlamento_andino,142,131,0,delegados,-
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,00000021,21,42904,congresales,142,131,0,delegados,-
FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,00000021,21,42904,delegados_distritales,8936,3090,0,delegados,-
FUERZA POPULAR,00000014,14,16066,delegados_provincial,16066,1633,0,delegados,-
FUERZA POPULAR,00000014,14,16066,parlamento_andino,44,40,0,delegados,-
FUERZA POPULAR,00000014,14,16066,congresales,44,40,0,delegados,-
FUERZA POPULAR,00000014,14,16066,presidenciales,44,40,0,delegados,1
JUNTOS POR EL PERU,00000013,13,12408,presidenciales,12408,1048,0,universal,1
JUNTOS POR EL PERU,00000013,13,12408,congresales,15292,1345,0,universal,-
JUNTOS POR EL PERU,00000013,13,12408,parlamento_andino,12408,1048,0,universal,-
PARTIDO APRISTA PERUANO,00000008,08,210540,presidenciales,210540,14220,0,universal,3
PARTIDO APRISTA PERUANO,00000008,08,210540,parlamento_andino,210540,14220,0,universal,-
PARTIDO APRISTA PERUANO,00000008,08,210540,congresales,275042,19846,0,universal,-
